id,year,state_name,state_code,cause,gender,number_of_deaths
0,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Female,1
1,2018,Andaman And Nicobar Islands,35,Bankruptcy Or Indebtedness,Male,4
3,2018,Andaman And Nicobar Islands,35,Causes Not Known,Female,7
4,2018,Andaman And Nicobar Islands,35,Causes Not Known,Male,7
6,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Female,1
7,2018,Andaman And Nicobar Islands,35,Death Of Dear Person,Male,1
9,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Female,2
10,2018,Andaman And Nicobar Islands,35,Drug Abuse/Alcoholic Addiction,Male,14
12,2018,Andaman And Nicobar Islands,35,Failure In Examination,Female,1
18,2018,Andaman And Nicobar Islands,35,Family Problems,Female,19
19,2018,Andaman And Nicobar Islands,35,Family Problems,Male,21
30,2018,Andaman And Nicobar Islands,35,Illness (Cancer),Female,1
33,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Female,2
34,2018,Andaman And Nicobar Islands,35,Illness (Insanity/Mental Illness),Male,14
36,2018,Andaman And Nicobar Islands,35,Illness (Other Prolonged Illness),Female,8
37,2018,Andaman And Nicobar Islands,35,Illness (Other Prolonged Illness),Male,20
40,2018,Andaman And Nicobar Islands,35,Illness (Paralysis),Male,1
42,2018,Andaman And Nicobar Islands,35,Illness (Total),Female,11
43,2018,Andaman And Nicobar Islands,35,Illness (Total),Male,35
49,2018,Andaman And Nicobar Islands,35,Love Affairs,Male,1
52,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Divorce),Male,1
61,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Non-Settlement Of Marriage),Male,2
64,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Others),Male,1
67,2018,Andaman And Nicobar Islands,35,Marriage Related Issues (Total),Male,4
69,2018,Andaman And Nicobar Islands,35,Other Causes,Female,11
70,2018,Andaman And Nicobar Islands,35,Other Causes,Male,23
78,2018,Andaman And Nicobar Islands,35,Professional/Career Problem,Female,1
90,2018,Andhra Pradesh,28,Bankruptcy Or Indebtedness,Female,45
91,2018,Andhra Pradesh,28,Bankruptcy Or Indebtedness,Male,331
