id,year,state_name,state_code,economic_status,gender,number_of_deaths
0,2018,Andaman And Nicobar Islands,35,Less Than ₹1 Lakh,Female,43
1,2018,Andaman And Nicobar Islands,35,Less Than ₹1 Lakh,Male,41
3,2018,Andaman And Nicobar Islands,35,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,10
4,2018,Andaman And Nicobar Islands,35,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,64
7,2018,Andaman And Nicobar Islands,35,₹10 Lakhs And Above,Male,1
9,2018,Andaman And Nicobar Islands,35,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,1
10,2018,Andaman And Nicobar Islands,35,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,4
12,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Female,964
13,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Male,2346
14,2018,Andhra Pradesh,28,Less Than ₹1 Lakh,Transgender,2
15,2018,Andhra Pradesh,28,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,506
16,2018,Andhra Pradesh,28,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,1200
18,2018,Andhra Pradesh,28,₹10 Lakhs And Above,Female,23
19,2018,Andhra Pradesh,28,₹10 Lakhs And Above,Male,57
21,2018,Andhra Pradesh,28,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,73
22,2018,Andhra Pradesh,28,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,148
24,2018,Arunachal Pradesh,12,Less Than ₹1 Lakh,Female,26
25,2018,Arunachal Pradesh,12,Less Than ₹1 Lakh,Male,65
27,2018,Arunachal Pradesh,12,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,10
28,2018,Arunachal Pradesh,12,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,20
34,2018,Arunachal Pradesh,12,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,11
36,2018,Assam,18,Less Than ₹1 Lakh,Female,445
37,2018,Assam,18,Less Than ₹1 Lakh,Male,1051
39,2018,Assam,18,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,224
40,2018,Assam,18,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,482
45,2018,Assam,18,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,34
46,2018,Assam,18,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,143
48,2018,Bihar,10,Less Than ₹1 Lakh,Female,75
49,2018,Bihar,10,Less Than ₹1 Lakh,Male,105
51,2018,Bihar,10,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,85
52,2018,Bihar,10,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,109
54,2018,Bihar,10,₹10 Lakhs And Above,Female,6
55,2018,Bihar,10,₹10 Lakhs And Above,Male,9
57,2018,Bihar,10,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,19
58,2018,Bihar,10,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,35
60,2018,Chandigarh,4,Less Than ₹1 Lakh,Female,36
61,2018,Chandigarh,4,Less Than ₹1 Lakh,Male,103
63,2018,Chandigarh,4,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,4
64,2018,Chandigarh,4,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,15
70,2018,Chandigarh,4,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,2
72,2018,Chhattisgarh,22,Less Than ₹1 Lakh,Female,1559
73,2018,Chhattisgarh,22,Less Than ₹1 Lakh,Male,3566
75,2018,Chhattisgarh,22,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,304
76,2018,Chhattisgarh,22,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,972
78,2018,Chhattisgarh,22,₹10 Lakhs And Above,Female,2
79,2018,Chhattisgarh,22,₹10 Lakhs And Above,Male,19
81,2018,Chhattisgarh,22,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,202
82,2018,Chhattisgarh,22,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,422
84,2018,Delhi,7,Less Than ₹1 Lakh,Female,415
85,2018,Delhi,7,Less Than ₹1 Lakh,Male,1026
87,2018,Delhi,7,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,321
88,2018,Delhi,7,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,689
91,2018,Delhi,7,₹10 Lakhs And Above,Male,5
93,2018,Delhi,7,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,11
94,2018,Delhi,7,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,59
96,2018,Goa,30,Less Than ₹1 Lakh,Female,34
97,2018,Goa,30,Less Than ₹1 Lakh,Male,116
99,2018,Goa,30,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,27
100,2018,Goa,30,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,77
106,2018,Goa,30,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,2
108,2018,Gujarat,24,Less Than ₹1 Lakh,Female,2089
109,2018,Gujarat,24,Less Than ₹1 Lakh,Male,3629
111,2018,Gujarat,24,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,482
112,2018,Gujarat,24,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,1512
115,2018,Gujarat,24,₹10 Lakhs And Above,Male,3
117,2018,Gujarat,24,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,12
118,2018,Gujarat,24,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,66
120,2018,Haryana,6,Less Than ₹1 Lakh,Female,349
121,2018,Haryana,6,Less Than ₹1 Lakh,Male,1088
123,2018,Haryana,6,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,352
124,2018,Haryana,6,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,1339
126,2018,Haryana,6,₹10 Lakhs And Above,Female,14
127,2018,Haryana,6,₹10 Lakhs And Above,Male,74
129,2018,Haryana,6,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,50
130,2018,Haryana,6,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,281
132,2018,Himachal Pradesh,2,Less Than ₹1 Lakh,Female,180
133,2018,Himachal Pradesh,2,Less Than ₹1 Lakh,Male,262
135,2018,Himachal Pradesh,2,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,64
136,2018,Himachal Pradesh,2,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,204
139,2018,Himachal Pradesh,2,₹10 Lakhs And Above,Male,6
141,2018,Himachal Pradesh,2,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,3
142,2018,Himachal Pradesh,2,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,21
144,2018,Jammu And Kashmir,1,Less Than ₹1 Lakh,Female,117
145,2018,Jammu And Kashmir,1,Less Than ₹1 Lakh,Male,97
147,2018,Jammu And Kashmir,1,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,58
148,2018,Jammu And Kashmir,1,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,55
151,2018,Jammu And Kashmir,1,₹10 Lakhs And Above,Male,1
154,2018,Jammu And Kashmir,1,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,2
156,2018,Jharkhand,20,Less Than ₹1 Lakh,Female,264
157,2018,Jharkhand,20,Less Than ₹1 Lakh,Male,485
159,2018,Jharkhand,20,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,125
160,2018,Jharkhand,20,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,392
162,2018,Jharkhand,20,₹10 Lakhs And Above,Female,2
163,2018,Jharkhand,20,₹10 Lakhs And Above,Male,4
165,2018,Jharkhand,20,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,17
166,2018,Jharkhand,20,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,28
168,2018,Karnataka,29,Less Than ₹1 Lakh,Female,2230
169,2018,Karnataka,29,Less Than ₹1 Lakh,Male,5342
170,2018,Karnataka,29,Less Than ₹1 Lakh,Transgender,3
171,2018,Karnataka,29,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,832
172,2018,Karnataka,29,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,2829
174,2018,Karnataka,29,₹10 Lakhs And Above,Female,7
175,2018,Karnataka,29,₹10 Lakhs And Above,Male,17
177,2018,Karnataka,29,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,74
178,2018,Karnataka,29,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,227
180,2018,Kerala,32,Less Than ₹1 Lakh,Female,1376
181,2018,Kerala,32,Less Than ₹1 Lakh,Male,4134
183,2018,Kerala,32,₹1 Lakh & Above - Less Than ₹5 Lakhs,Female,422
184,2018,Kerala,32,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,2023
186,2018,Kerala,32,₹10 Lakhs And Above,Female,4
187,2018,Kerala,32,₹10 Lakhs And Above,Male,20
189,2018,Kerala,32,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Female,71
190,2018,Kerala,32,₹5 Lakhs & Above - Less Than ₹10 Lakhs,Male,187
193,2018,Lakshadweep,31,Less Than ₹1 Lakh,Male,2
196,2018,Lakshadweep,31,₹1 Lakh & Above - Less Than ₹5 Lakhs,Male,1
