id,year,state_name,state_code,educational_status,gender,number_of_deaths
0,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Female,0
1,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Male,1
2,2018,Andaman And Nicobar Islands,35,Diploma/ Certificate/ Iti,Transgender,0
3,2018,Andaman And Nicobar Islands,35,Graduate And Above,Female,4
4,2018,Andaman And Nicobar Islands,35,Graduate And Above,Male,4
5,2018,Andaman And Nicobar Islands,35,Graduate And Above,Transgender,0
6,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Female,9
7,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Male,15
8,2018,Andaman And Nicobar Islands,35,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Transgender,0
9,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Female,8
10,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Male,20
11,2018,Andaman And Nicobar Islands,35,Matriculate/ Secondary (Up To Class–10ᵗʰ),Transgender,0
12,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Female,7
13,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Male,24
14,2018,Andaman And Nicobar Islands,35,Middle (Up To Class–8ᵗʰ),Transgender,0
15,2018,Andaman And Nicobar Islands,35,No Education,Female,10
16,2018,Andaman And Nicobar Islands,35,No Education,Male,10
17,2018,Andaman And Nicobar Islands,35,No Education,Transgender,0
18,2018,Andaman And Nicobar Islands,35,Primary (Up To Class–5ᵗʰ),Female,13
19,2018,Andaman And Nicobar Islands,35,Primary (Up To Class–5ᵗʰ),Male,32
20,2018,Andaman And Nicobar Islands,35,Primary (Up To Class–5ᵗʰ),Transgender,0
21,2018,Andaman And Nicobar Islands,35,Professionals (Mba Etc.),Female,0
22,2018,Andaman And Nicobar Islands,35,Professionals (Mba Etc.),Male,0
23,2018,Andaman And Nicobar Islands,35,Professionals (Mba Etc.),Transgender,0
24,2018,Andaman And Nicobar Islands,35,Status Not Known,Female,3
25,2018,Andaman And Nicobar Islands,35,Status Not Known,Male,4
26,2018,Andaman And Nicobar Islands,35,Status Not Known,Transgender,0
27,2018,Andhra Pradesh,28,Diploma/ Certificate/ Iti,Female,3
28,2018,Andhra Pradesh,28,Diploma/ Certificate/ Iti,Male,25
29,2018,Andhra Pradesh,28,Diploma/ Certificate/ Iti,Transgender,0
30,2018,Andhra Pradesh,28,Graduate And Above,Female,60
31,2018,Andhra Pradesh,28,Graduate And Above,Male,170
32,2018,Andhra Pradesh,28,Graduate And Above,Transgender,0
33,2018,Andhra Pradesh,28,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Female,120
34,2018,Andhra Pradesh,28,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Male,286
35,2018,Andhra Pradesh,28,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Transgender,0
36,2018,Andhra Pradesh,28,Matriculate/ Secondary (Up To Class–10ᵗʰ),Female,246
37,2018,Andhra Pradesh,28,Matriculate/ Secondary (Up To Class–10ᵗʰ),Male,649
38,2018,Andhra Pradesh,28,Matriculate/ Secondary (Up To Class–10ᵗʰ),Transgender,0
39,2018,Andhra Pradesh,28,Middle (Up To Class–8ᵗʰ),Female,234
40,2018,Andhra Pradesh,28,Middle (Up To Class–8ᵗʰ),Male,635
41,2018,Andhra Pradesh,28,Middle (Up To Class–8ᵗʰ),Transgender,1
42,2018,Andhra Pradesh,28,No Education,Female,452
43,2018,Andhra Pradesh,28,No Education,Male,828
44,2018,Andhra Pradesh,28,No Education,Transgender,1
45,2018,Andhra Pradesh,28,Primary (Up To Class–5ᵗʰ),Female,372
46,2018,Andhra Pradesh,28,Primary (Up To Class–5ᵗʰ),Male,780
47,2018,Andhra Pradesh,28,Primary (Up To Class–5ᵗʰ),Transgender,0
48,2018,Andhra Pradesh,28,Professionals (Mba Etc.),Female,7
49,2018,Andhra Pradesh,28,Professionals (Mba Etc.),Male,10
50,2018,Andhra Pradesh,28,Professionals (Mba Etc.),Transgender,0
51,2018,Andhra Pradesh,28,Status Not Known,Female,72
52,2018,Andhra Pradesh,28,Status Not Known,Male,368
53,2018,Andhra Pradesh,28,Status Not Known,Transgender,0
54,2018,Arunachal Pradesh,12,Diploma/ Certificate/ Iti,Female,0
55,2018,Arunachal Pradesh,12,Diploma/ Certificate/ Iti,Male,1
56,2018,Arunachal Pradesh,12,Diploma/ Certificate/ Iti,Transgender,0
57,2018,Arunachal Pradesh,12,Graduate And Above,Female,0
58,2018,Arunachal Pradesh,12,Graduate And Above,Male,2
59,2018,Arunachal Pradesh,12,Graduate And Above,Transgender,0
60,2018,Arunachal Pradesh,12,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Female,4
61,2018,Arunachal Pradesh,12,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Male,24
62,2018,Arunachal Pradesh,12,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Transgender,0
63,2018,Arunachal Pradesh,12,Matriculate/ Secondary (Up To Class–10ᵗʰ),Female,12
64,2018,Arunachal Pradesh,12,Matriculate/ Secondary (Up To Class–10ᵗʰ),Male,15
65,2018,Arunachal Pradesh,12,Matriculate/ Secondary (Up To Class–10ᵗʰ),Transgender,0
66,2018,Arunachal Pradesh,12,Middle (Up To Class–8ᵗʰ),Female,6
67,2018,Arunachal Pradesh,12,Middle (Up To Class–8ᵗʰ),Male,20
68,2018,Arunachal Pradesh,12,Middle (Up To Class–8ᵗʰ),Transgender,0
69,2018,Arunachal Pradesh,12,No Education,Female,3
70,2018,Arunachal Pradesh,12,No Education,Male,14
71,2018,Arunachal Pradesh,12,No Education,Transgender,0
72,2018,Arunachal Pradesh,12,Primary (Up To Class–5ᵗʰ),Female,5
73,2018,Arunachal Pradesh,12,Primary (Up To Class–5ᵗʰ),Male,12
74,2018,Arunachal Pradesh,12,Primary (Up To Class–5ᵗʰ),Transgender,0
75,2018,Arunachal Pradesh,12,Professionals (Mba Etc.),Female,0
76,2018,Arunachal Pradesh,12,Professionals (Mba Etc.),Male,0
77,2018,Arunachal Pradesh,12,Professionals (Mba Etc.),Transgender,0
78,2018,Arunachal Pradesh,12,Status Not Known,Female,6
79,2018,Arunachal Pradesh,12,Status Not Known,Male,8
80,2018,Arunachal Pradesh,12,Status Not Known,Transgender,0
81,2018,Assam,18,Diploma/ Certificate/ Iti,Female,10
82,2018,Assam,18,Diploma/ Certificate/ Iti,Male,8
83,2018,Assam,18,Diploma/ Certificate/ Iti,Transgender,0
84,2018,Assam,18,Graduate And Above,Female,5
85,2018,Assam,18,Graduate And Above,Male,33
86,2018,Assam,18,Graduate And Above,Transgender,0
87,2018,Assam,18,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Female,47
88,2018,Assam,18,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Male,115
89,2018,Assam,18,Hr. Secondary/ Intermediate/ Pre–University (Up To Class–12ᵗʰ),Transgender,0
90,2018,Assam,18,Matriculate/ Secondary (Up To Class–10ᵗʰ),Female,140
91,2018,Assam,18,Matriculate/ Secondary (Up To Class–10ᵗʰ),Male,290
92,2018,Assam,18,Matriculate/ Secondary (Up To Class–10ᵗʰ),Transgender,0
93,2018,Assam,18,Middle (Up To Class–8ᵗʰ),Female,149
94,2018,Assam,18,Middle (Up To Class–8ᵗʰ),Male,287
95,2018,Assam,18,Middle (Up To Class–8ᵗʰ),Transgender,0
96,2018,Assam,18,No Education,Female,105
97,2018,Assam,18,No Education,Male,332
98,2018,Assam,18,No Education,Transgender,0
99,2018,Assam,18,Primary (Up To Class–5ᵗʰ),Female,114
100,2018,Assam,18,Primary (Up To Class–5ᵗʰ),Male,256
101,2018,Assam,18,Primary (Up To Class–5ᵗʰ),Transgender,0
102,2018,Assam,18,Professionals (Mba Etc.),Female,0
103,2018,Assam,18,Professionals (Mba Etc.),Male,0
104,2018,Assam,18,Professionals (Mba Etc.),Transgender,0
105,2018,Assam,18,Status Not Known,Female,133
