id,year,state_name,state_code,marital_status,gender,number_of_deaths
0,2018,Andaman And Nicobar Islands,35,Divorcee,Female,0
1,2018,Andaman And Nicobar Islands,35,Divorcee,Male,0
2,2018,Andaman And Nicobar Islands,35,Divorcee,Transgender,0
3,2018,Andaman And Nicobar Islands,35,Married,Female,37
4,2018,Andaman And Nicobar Islands,35,Married,Male,69
5,2018,Andaman And Nicobar Islands,35,Married,Transgender,0
6,2018,Andaman And Nicobar Islands,35,Others,Female,0
7,2018,Andaman And Nicobar Islands,35,Others,Male,0
8,2018,Andaman And Nicobar Islands,35,Others,Transgender,0
9,2018,Andaman And Nicobar Islands,35,Separated,Female,0
10,2018,Andaman And Nicobar Islands,35,Separated,Male,1
11,2018,Andaman And Nicobar Islands,35,Separated,Transgender,0
12,2018,Andaman And Nicobar Islands,35,Status Not Known,Female,0
13,2018,Andaman And Nicobar Islands,35,Status Not Known,Male,0
14,2018,Andaman And Nicobar Islands,35,Status Not Known,Transgender,0
15,2018,Andaman And Nicobar Islands,35,Un-Married,Female,15
16,2018,Andaman And Nicobar Islands,35,Un-Married,Male,39
17,2018,Andaman And Nicobar Islands,35,Un-Married,Transgender,0
18,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Female,2
19,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Male,1
20,2018,Andaman And Nicobar Islands,35,Widowed/Widower,Transgender,0
21,2018,Andhra Pradesh,28,Divorcee,Female,0
22,2018,Andhra Pradesh,28,Divorcee,Male,2
23,2018,Andhra Pradesh,28,Divorcee,Transgender,0
24,2018,Andhra Pradesh,28,Married,Female,1119
25,2018,Andhra Pradesh,28,Married,Male,2745
26,2018,Andhra Pradesh,28,Married,Transgender,0
27,2018,Andhra Pradesh,28,Others,Female,30
28,2018,Andhra Pradesh,28,Others,Male,61
29,2018,Andhra Pradesh,28,Others,Transgender,1
30,2018,Andhra Pradesh,28,Separated,Female,30
31,2018,Andhra Pradesh,28,Separated,Male,54
32,2018,Andhra Pradesh,28,Separated,Transgender,1
