id,year,state_name,state_code,profession,gender,number_of_deaths
0,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Female,0
1,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Male,5
2,2018,Andaman And Nicobar Islands,35,Daily Wage Earner,Transgender,0
3,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Female,0
4,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Male,0
5,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate On Lease Land#),Transgender,0
6,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Female,0
7,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Male,4
8,2018,Andaman And Nicobar Islands,35,Farmers/Cultivators (Who Cultivate Their Own Land*),Transgender,0
9,2018,Andaman And Nicobar Islands,35,House Wife,Female,32
10,2018,Andaman And Nicobar Islands,35,House Wife,Male,0
11,2018,Andaman And Nicobar Islands,35,House Wife,Transgender,0
12,2018,Andaman And Nicobar Islands,35,Other Persons,Female,3
13,2018,Andaman And Nicobar Islands,35,Other Persons,Male,5
14,2018,Andaman And Nicobar Islands,35,Other Persons,Transgender,0
15,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Female,1
16,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Male,7
17,2018,Andaman And Nicobar Islands,35,Other Self-Employed Persons,Transgender,0
18,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Female,0
19,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Male,0
20,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Agricultural Labourers),Transgender,0
21,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Female,0
22,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Male,4
23,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector (Total),Transgender,0
24,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Female,0
25,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Male,4
26,2018,Andaman And Nicobar Islands,35,Persons Engaged In Farming Sector [Farmers/Cultivators (Total)],Transgender,0
27,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Female,7
28,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Male,56
29,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Private Sector Enterprises),Transgender,0
30,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Female,0
31,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Male,1
32,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Public Sector Undertaking),Transgender,0
33,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Female,8
34,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Male,68
35,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons (Total),Transgender,0
36,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Female,1
37,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Male,11
38,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Central/ Ut Govt. Servants)],Transgender,0
39,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Female,0
40,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Male,0
41,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Other Statutory Body/Etc.)],Transgender,0
42,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (State Govt. Servants)],Female,0
43,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (State Govt. Servants)],Male,0
44,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (State Govt. Servants)],Transgender,0
45,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Total)],Female,1
46,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Total)],Male,11
47,2018,Andaman And Nicobar Islands,35,Professionals/Salaried Persons [Government Servants (Total)],Transgender,0
48,2018,Andaman And Nicobar Islands,35,Retired Persons,Female,0
49,2018,Andaman And Nicobar Islands,35,Retired Persons,Male,6
50,2018,Andaman And Nicobar Islands,35,Retired Persons,Transgender,0
51,2018,Andaman And Nicobar Islands,35,Self-Employed Persons (Total),Female,2
52,2018,Andaman And Nicobar Islands,35,Self-Employed Persons (Total),Male,8
53,2018,Andaman And Nicobar Islands,35,Self-Employed Persons (Total),Transgender,0
54,2018,Andaman And Nicobar Islands,35,Self-Employed Persons [Business (Other Business)],Female,0
